date,return,open_close,rv,vix,year_week,dhousing,dindpro,nai,nfci,year_month
1971/1/4,-1.091118275,-1.091118275,NA,NA,1971/1/3,-3.49403992,0.766329077,0.72,0.42,1971/1/1
1971/1/5,0.710580724,0.710580724,NA,NA,1971/1/3,-3.49403992,0.766329077,0.72,0.42,1971/1/1
1971/1/6,0.597335468,0.597335468,NA,NA,1971/1/3,-3.49403992,0.766329077,0.72,0.42,1971/1/1
1971/1/7,0.032478754,0.032478754,NA,NA,1971/1/3,-3.49403992,0.766329077,0.72,0.42,1971/1/1
1971/1/8,-0.205878602,-0.205878602,NA,NA,1971/1/3,-3.49403992,0.766329077,0.72,0.42,1971/1/1
1971/1/11,-0.228049178,-0.228049178,NA,NA,1971/1/10,-3.49403992,0.766329077,0.72,0.46,1971/1/1
1971/1/12,0.801301509,0.801301509,NA,NA,1971/1/10,-3.49403992,0.766329077,0.72,0.46,1971/1/1
1971/1/13,-0.172714854,-0.172714854,NA,NA,1971/1/10,-3.49403992,0.766329077,0.72,0.46,1971/1/1
1971/1/14,0.258961084,0.258961084,NA,NA,1971/1/10,-3.49403992,0.766329077,0.72,0.46,1971/1/1
1971/1/15,0.247533891,0.247533891,NA,NA,1971/1/10,-3.49403992,0.766329077,0.72,0.46,1971/1/1
1971/1/18,0.407643768,0.407643768,NA,NA,1971/1/17,-3.49403992,0.766329077,0.72,0.51,1971/1/1
1971/1/19,0.373989845,0.373989845,NA,NA,1971/1/17,-3.49403992,0.766329077,0.72,0.51,1971/1/1
1971/1/20,0.021325584,0.021325584,NA,NA,1971/1/17,-3.49403992,0.766329077,0.72,0.51,1971/1/1
1971/1/21,0.436243707,0.436243707,NA,NA,1971/1/17,-3.49403992,0.766329077,0.72,0.51,1971/1/1
1971/1/22,0.729886356,0.729886356,NA,NA,1971/1/17,-3.49403992,0.766329077,0.72,0.51,1971/1/1
1971/1/25,0.420701092,0.420701092,NA,NA,1971/1/24,-3.49403992,0.766329077,0.72,0.56,1971/1/1
1971/1/26,0.324825568,0.324825568,NA,NA,1971/1/24,-3.49403992,0.766329077,0.72,0.56,1971/1/1
1971/1/27,-0.734985478,-0.734985478,NA,NA,1971/1/24,-3.49403992,0.766329077,0.72,0.56,1971/1/1
1971/1/28,0.336665235,0.336665235,NA,NA,1971/1/24,-3.49403992,0.766329077,0.72,0.56,1971/1/1
1971/1/29,0.701241048,0.701241048,NA,NA,1971/1/24,-3.49403992,0.766329077,0.72,0.56,1971/1/1
1971/2/1,0.561624996,0.561624996,NA,NA,1971/1/31,-4.876281225,-0.190902779,-0.12,0.61,1971/2/1
1971/2/2,0.010372829,0.010372829,NA,NA,1971/1/31,-4.876281225,-0.190902779,-0.12,0.61,1971/2/1
1971/2/3,0.207186444,0.207186444,NA,NA,1971/1/31,-4.876281225,-0.190902779,-0.12,0.61,1971/2/1
1971/2/4,-0.010343079,-0.010343079,NA,NA,1971/1/31,-4.876281225,-0.190902779,-0.12,0.61,1971/2/1
1971/2/5,0.320327833,0.320327833,NA,NA,1971/1/31,-4.876281225,-0.190902779,-0.12,0.61,1971/2/1
1971/2/8,0.535032666,0.535032666,NA,NA,1971/2/7,-4.876281225,-0.190902779,-0.12,0.66,1971/2/1
1971/2/9,0.061556219,0.061556219,NA,NA,1971/2/7,-4.876281225,-0.190902779,-0.12,0.66,1971/2/1
1971/2/10,-0.123143165,-0.123143165,NA,NA,1971/2/7,-4.876281225,-0.190902779,-0.12,0.66,1971/2/1
1971/2/11,0.532520451,0.532520451,NA,NA,1971/2/7,-4.876281225,-0.190902779,-0.12,0.66,1971/2/1
1971/2/12,0.529690542,0.529690542,NA,NA,1971/2/7,-4.876281225,-0.190902779,-0.12,0.66,1971/2/1
1971/2/16,0.233400071,0.233400071,NA,NA,1971/2/14,-4.876281225,-0.190902779,-0.12,0.7,1971/2/1
1971/2/17,-0.467345154,-0.467345154,NA,NA,1971/2/14,-4.876281225,-0.190902779,-0.12,0.7,1971/2/1
1971/2/18,-0.653863196,-0.653863196,NA,NA,1971/2/14,-4.876281225,-0.190902779,-0.12,0.7,1971/2/1
1971/2/19,-0.844060613,-0.844060613,NA,NA,1971/2/14,-4.876281225,-0.190902779,-0.12,0.7,1971/2/1
1971/2/22,-1.059967323,-0.966895286,NA,NA,1971/2/21,-4.876281225,-0.190902779,-0.12,0.74,1971/2/1
1971/2/23,0.385793717,0.385793717,NA,NA,1971/2/21,-4.876281225,-0.190902779,-0.12,0.74,1971/2/1
1971/2/24,0.663841255,0.663841255,NA,NA,1971/2/21,-4.876281225,-0.190902779,-0.12,0.74,1971/2/1
1971/2/25,0.23748888,0.23748888,NA,NA,1971/2/21,-4.876281225,-0.190902779,-0.12,0.74,1971/2/1
1971/2/26,-0.21681801,-0.21681801,NA,NA,1971/2/21,-4.876281225,-0.190902779,-0.12,0.74,1971/2/1
1971/3/1,0.258064659,0.258064659,NA,NA,1971/2/28,9.264358127,-0.108435402,-0.18,0.78,1971/3/1
1971/3/2,-0.020617589,-0.020617589,NA,NA,1971/2/28,9.264358127,-0.108435402,-0.18,0.78,1971/3/1
1971/3/3,-0.030945187,-0.030945187,NA,NA,1971/2/28,9.264358127,-0.108435402,-0.18,0.78,1971/3/1
1971/3/4,0.995544759,0.995544759,NA,NA,1971/2/28,9.264358127,-0.108435402,-0.18,0.78,1971/3/1
1971/3/5,1.056491964,1.056491964,NA,NA,1971/2/28,9.264358127,-0.108435402,-0.18,0.78,1971/3/1
1971/3/8,0.423513801,0.423513801,NA,NA,1971/3/7,9.264358127,-0.108435402,-0.18,0.8,1971/3/1
1971/3/9,0.080468725,0.080468725,NA,NA,1971/3/7,9.264358127,-0.108435402,-0.18,0.8,1971/3/1
1971/3/10,-0.160994197,-0.160994197,NA,NA,1971/3/7,9.264358127,-0.108435402,-0.18,0.8,1971/3/1
1971/3/11,0.090589366,0.090589366,NA,NA,1971/3/7,9.264358127,-0.108435402,-0.18,0.8,1971/3/1
1971/3/12,0.180941948,0.180941948,NA,NA,1971/3/7,9.264358127,-0.108435402,-0.18,0.8,1971/3/1
1971/3/15,1.138417533,1.138417533,NA,NA,1971/3/14,9.264358127,-0.108435402,-0.18,0.83,1971/3/1
1971/3/16,0.495246659,0.495246659,NA,NA,1971/3/14,9.264358127,-0.108435402,-0.18,0.83,1971/3/1
1971/3/17,-0.088959625,-0.088959625,NA,NA,1971/3/14,9.264358127,-0.108435402,-0.18,0.83,1971/3/1
1971/3/18,0.069199744,0.069199744,NA,NA,1971/3/14,9.264358127,-0.108435402,-0.18,0.83,1971/3/1
1971/3/19,-0.178041587,-0.178041587,NA,NA,1971/3/14,9.264358127,-0.108435402,-0.18,0.83,1971/3/1
1971/3/22,-0.386846676,-0.386846676,NA,NA,1971/3/21,9.264358127,-0.108435402,-0.18,0.86,1971/3/1
1971/3/23,-0.338481156,-0.338481156,NA,NA,1971/3/21,9.264358127,-0.108435402,-0.18,0.86,1971/3/1
1971/3/24,-0.660328556,-0.660328556,NA,NA,1971/3/21,9.264358127,-0.108435402,-0.18,0.86,1971/3/1
1971/3/25,-0.010040656,-0.010040656,NA,NA,1971/3/21,9.264358127,-0.108435402,-0.18,0.86,1971/3/1
1971/3/26,0.340745974,0.340745974,NA,NA,1971/3/21,9.264358127,-0.108435402,-0.18,0.86,1971/3/1
1971/3/29,0.080010007,0.080010007,NA,NA,1971/3/28,9.264358127,-0.108435402,-0.18,0.89,1971/3/1
1971/3/30,0.229670078,0.229670078,NA,NA,1971/3/28,9.264358127,-0.108435402,-0.18,0.89,1971/3/1
1971/3/31,0.049853917,0.049853917,NA,NA,1971/3/28,9.264358127,-0.108435402,-0.18,0.89,1971/3/1
1971/4/1,0.079721979,0.079721979,NA,NA,1971/3/28,3.901932356,0.560106652,0.69,0.89,1971/4/1
1971/4/2,0.169195365,0.169195365,NA,NA,1971/3/28,3.901932356,0.560106652,0.69,0.89,1971/4/1
1971/4/5,0.22846099,0.22846099,NA,NA,1971/4/4,3.901932356,0.560106652,0.69,0.92,1971/4/1
1971/4/6,0.711818121,0.711818121,NA,NA,1971/4/4,3.901932356,0.560106652,0.69,0.92,1971/4/1
1971/4/7,0.461940955,0.461940955,NA,NA,1971/4/4,3.901932356,0.560106652,0.69,0.92,1971/4/1
1971/4/8,0.117596054,0.117596054,NA,NA,1971/4/4,3.901932356,0.560106652,0.69,0.92,1971/4/1
1971/4/12,0.761052575,0.761052575,NA,NA,1971/4/11,3.901932356,0.560106652,0.69,0.95,1971/4/1
1971/4/13,0.097159242,0.097159242,NA,NA,1971/4/11,3.901932356,0.560106652,0.69,0.95,1971/4/1
1971/4/14,0.377998985,0.377998985,NA,NA,1971/4/11,3.901932356,0.560106652,0.69,0.95,1971/4/1
1971/4/15,0.144998817,0.144998817,NA,NA,1971/4/11,3.901932356,0.560106652,0.69,0.95,1971/4/1
1971/4/16,-0.028983142,-0.028983142,NA,NA,1971/4/11,3.901932356,0.560106652,0.69,0.95,1971/4/1
1971/4/19,0.501209724,0.501209724,NA,NA,1971/4/18,3.901932356,0.560106652,0.69,0.99,1971/4/1
1971/4/20,-0.385320768,-0.385320768,NA,NA,1971/4/18,3.901932356,0.560106652,0.69,0.99,1971/4/1
1971/4/21,-0.241581021,-0.241581021,NA,NA,1971/4/18,3.901932356,0.560106652,0.69,0.99,1971/4/1
1971/4/22,0.193308586,0.193308586,NA,NA,1971/4/18,3.901932356,0.560106652,0.69,0.99,1971/4/1
1971/4/23,0.47204461,0.47204461,NA,NA,1971/4/18,3.901932356,0.560106652,0.69,0.99,1971/4/1
1971/4/26,-0.105775285,-0.105775285,NA,NA,1971/4/25,3.901932356,0.560106652,0.69,1.02,1971/4/1
1971/4/27,0.62340777,0.62340777,NA,NA,1971/4/25,3.901932356,0.560106652,0.69,1.02,1971/4/1
1971/4/28,0.171953621,0.171953621,NA,NA,1971/4/25,3.901932356,0.560106652,0.69,1.02,1971/4/1
1971/4/29,-0.133715401,-0.133715401,NA,NA,1971/4/25,3.901932356,0.560106652,0.69,1.02,1971/4/1
1971/4/30,-0.652030328,-0.652030328,NA,NA,1971/4/25,3.901932356,0.560106652,0.69,1.02,1971/4/1
1971/5/3,-0.636940974,-0.636940974,NA,NA,1971/5/2,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/4,0.482906091,0.482906091,NA,NA,1971/5/2,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/5,-0.009637231,-0.009637231,NA,NA,1971/5/2,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/6,-0.531372677,-0.531372677,NA,NA,1971/5/2,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/7,-0.349345323,-0.349345323,NA,NA,1971/5/2,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/10,-0.497006324,-0.497006324,NA,NA,1971/5/9,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/11,0.253685369,0.253685369,NA,NA,1971/5/9,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/12,0.272478753,0.272478753,NA,NA,1971/5/9,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/13,-0.204290159,-0.204290159,NA,NA,1971/5/9,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/14,-0.468525013,-0.468525013,NA,NA,1971/5/9,3.122930363,0.506152911,0.7,1.04,1971/5/1
1971/5/17,-1.498300077,-1.37103294,NA,NA,1971/5/16,3.122930363,0.506152911,0.7,1.03,1971/5/1
1971/5/18,0.138944045,0.138944045,NA,NA,1971/5/16,3.122930363,0.506152911,0.7,1.03,1971/5/1
1971/5/19,0.237739585,0.237739585,NA,NA,1971/5/16,3.122930363,0.506152911,0.7,1.03,1971/5/1
1971/5/20,0.237175724,0.237175724,NA,NA,1971/5/16,3.122930363,0.506152911,0.7,1.03,1971/5/1
1971/5/21,-0.316362109,-0.316362109,NA,NA,1971/5/16,3.122930363,0.506152911,0.7,1.03,1971/5/1
1971/5/24,-0.855217048,-0.855217048,NA,NA,1971/5/23,3.122930363,0.506152911,0.7,1,1971/5/1
1971/5/25,-0.661321054,-0.661321054,NA,NA,1971/5/23,3.122930363,0.506152911,0.7,1,1971/5/1
1971/5/26,0.120561656,0.120561656,NA,NA,1971/5/23,3.122930363,0.506152911,0.7,1,1971/5/1
1971/5/27,-0.1909584,-0.1909584,NA,NA,1971/5/23,3.122930363,0.506152911,0.7,1,1971/5/1
1971/5/28,0.231116016,0.231116016,NA,NA,1971/5/23,3.122930363,0.506152911,0.7,1,1971/5/1
1971/6/1,0.570486477,0.570486477,NA,NA,1971/5/30,-1.128846343,0.418481957,0.36,0.95,1971/6/1
1971/6/2,0.755623018,0.755623018,NA,NA,1971/5/30,-1.128846343,0.418481957,0.36,0.95,1971/6/1
1971/6/3,0.049515275,0.049515275,NA,NA,1971/5/30,-1.128846343,0.418481957,0.36,0.95,1971/6/1
1971/6/4,0.286689923,0.286689923,NA,NA,1971/5/30,-1.128846343,0.418481957,0.36,0.95,1971/6/1
1971/6/7,-0.207527127,-0.207527127,NA,NA,1971/6/6,-1.128846343,0.418481957,0.36,0.9,1971/6/1
1971/6/8,-0.764609271,-0.764609271,NA,NA,1971/6/6,-1.128846343,0.418481957,0.36,0.9,1971/6/1
1971/6/9,-0.029907781,-0.029907781,NA,NA,1971/6/6,-1.128846343,0.418481957,0.36,0.9,1971/6/1
1971/6/10,0.348378394,0.348378394,NA,NA,1971/6/6,-1.128846343,0.418481957,0.36,0.9,1971/6/1
1971/6/11,0.426356307,0.426356307,NA,NA,1971/6/6,-1.128846343,0.418481957,0.36,0.9,1971/6/1
1971/6/14,-0.844556658,-0.844556658,NA,NA,1971/6/13,-1.128846343,0.418481957,0.36,0.84,1971/6/1
1971/6/15,0.099729737,0.099729737,NA,NA,1971/6/13,-1.128846343,0.418481957,0.36,0.84,1971/6/1
1971/6/16,0.199160595,0.199160595,NA,NA,1971/6/13,-1.128846343,0.418481957,0.36,0.84,1971/6/1
1971/6/17,-0.019895533,-0.019895533,NA,NA,1971/6/13,-1.128846343,0.418481957,0.36,0.84,1971/6/1
1971/6/18,-1.534094349,-1.534094349,NA,NA,1971/6/13,-1.128846343,0.418481957,0.36,0.84,1971/6/1
1971/6/21,-1.117668592,-1.117668592,NA,NA,1971/6/20,-1.128846343,0.418481957,0.36,0.79,1971/6/1
1971/6/22,-0.286510993,-0.286510993,NA,NA,1971/6/20,-1.128846343,0.418481957,0.36,0.79,1971/6/1
1971/6/23,0.836747739,0.836747739,NA,NA,1971/6/20,-1.128846343,0.418481957,0.36,0.79,1971/6/1
1971/6/24,-0.284936591,-0.284936591,NA,NA,1971/6/20,-1.128846343,0.418481957,0.36,0.79,1971/6/1
1971/6/25,-0.142768741,-0.142768741,NA,NA,1971/6/20,-1.128846343,0.418481957,0.36,0.79,1971/6/1
1971/6/28,-0.255454086,-0.255454086,NA,NA,1971/6/27,-1.128846343,0.418481957,0.36,0.76,1971/6/1
1971/6/29,1.098914204,1.098914204,NA,NA,1971/6/27,-1.128846343,0.418481957,0.36,0.76,1971/6/1
1971/6/30,-0.121509737,-0.121509737,NA,NA,1971/6/27,-1.128846343,0.418481957,0.36,0.76,1971/6/1
1971/7/1,1.088283637,0.623300491,NA,NA,1971/6/27,2.774575645,-0.290675917,-0.12,0.76,1971/7/1
1971/7/2,0,0,NA,NA,1971/6/27,2.774575645,-0.290675917,-0.12,0.76,1971/7/1
1971/7/6,-0.020043099,-0.020043099,NA,NA,1971/7/4,2.774575645,-0.290675917,-0.12,0.77,1971/7/1
1971/7/7,0.280279459,0.280279459,NA,NA,1971/7/4,2.774575645,-0.290675917,-0.12,0.77,1971/7/1
1971/7/8,0.299426319,0.299426319,NA,NA,1971/7/4,2.774575645,-0.290675917,-0.12,0.77,1971/7/1
1971/7/9,0.34821306,0.34821306,NA,NA,1971/7/4,2.774575645,-0.290675917,-0.12,0.77,1971/7/1
1971/7/12,0.129023886,0.129023886,NA,NA,1971/7/11,2.774575645,-0.290675917,-0.12,0.81,1971/7/1
1971/7/13,-1.317910449,-1.317910449,NA,NA,1971/7/11,2.774575645,-0.290675917,-0.12,0.81,1971/7/1
1971/7/14,-0.281802721,-0.281802721,NA,NA,1971/7/11,2.774575645,-0.290675917,-0.12,0.81,1971/7/1
1971/7/15,0.060451387,0.060451387,NA,NA,1971/7/11,2.774575645,-0.290675917,-0.12,0.81,1971/7/1
1971/7/16,-0.171377632,-0.171377632,NA,NA,1971/7/11,2.774575645,-0.290675917,-0.12,0.81,1971/7/1
1971/7/19,-0.181782517,-0.181782517,NA,NA,1971/7/18,2.774575645,-0.290675917,-0.12,0.89,1971/7/1
1971/7/20,0.39344313,0.39344313,NA,NA,1971/7/18,2.774575645,-0.290675917,-0.12,0.89,1971/7/1
1971/7/21,-0.040282982,-0.040282982,NA,NA,1971/7/18,2.774575645,-0.290675917,-0.12,0.89,1971/7/1
1971/7/22,-0.171377632,-0.171377632,NA,NA,1971/7/18,2.774575645,-0.290675917,-0.12,0.89,1971/7/1
